Task ID,Created At,Completed At,Last Modified,Name,Section/Column,Assignee,Assignee Email,Start Date,Due Date,Tags,Notes,Projects,Parent task,Blocked By (Dependencies),Blocking (Dependencies),DELVERY DATE ,OBSERVATONS ,SEMANA 1,SEMANA 2,SEMANA 3,SEMANA 4,SEMANA 1,SEMANA 2,SEMANA 3,SEMANA 4,SEMANA 5,SEMANA 1,SEMANA 2,COMENTARIOS,octobre
1215259692091851,2026-05-29,,2026-05-29,6. PRIMERA REUNION DE DISEÑO CON EL CLIENTE ,DISEÑO,Aleja Guerra lotero,,,,,"La primera reunion con el cliente es donde se migra toda la informacion de diseno para darle el marco de diseno encontrar en que se encuentra el cliente de acuerdo y que no , para alinearnos con sus espectativas y el con las nuestras. El material debe ser suficiente para permitirle a el estudio desarrollar todos los espacios ACERTIVAMENTE bajo el ESTILO Y REQUERIMIENTO DEL CLIENTE ",PROYECTO HOY ,,,,,,,,,,,,,,,,,,
1215259782664028,2026-05-29,,2026-05-29,7.Ubicar el punto del proceso en el que vamos en la presentacion con cliente,,,,,,,,,6. PRIMERA REUNION DE DISEÑO CON EL CLIENTE ,,,,,,,,,,,,,,,,,
1215259782664033,2026-05-29,,2026-05-29, 8. MOOD BOARD ,,Aleja Guerra lotero,,,,,,,6. PRIMERA REUNION DE DISEÑO CON EL CLIENTE ,,,,,,,,,,,,,,,,,
1215259613824792,2026-05-29,,2026-05-29,A. COLORES ,,,,,,,,, 8. MOOD BOARD ,,,,,,,,,,,,,,,,,
1215259613824797,2026-05-29,,2026-05-29,B. MATERIALES ,,,,,,,,, 8. MOOD BOARD ,,,,,,,,,,,,,,,,,
1215259613824802,2026-05-29,,2026-05-29,C. IMAGEN RELEVANTE ,,,,,,,,, 8. MOOD BOARD ,,,,,,,,,,,,,,,,,
1215259613824807,2026-05-29,,2026-05-29,D. TEXTURAS ,,,,,,,,, 8. MOOD BOARD ,,,,,,,,,,,,,,,,,
1215259782664039,2026-05-29,,2026-05-29,"9. Buscar los referentes que se adaptan a cada espacio , realizar algunos sketch para profundizar en el estilo de cada espacio .",,,,,,,,,6. PRIMERA REUNION DE DISEÑO CON EL CLIENTE ,,,,,,,,,,,,,,,,,
1215259613824812,2026-05-29,,2026-05-29,ZONE 1  : Entrada ,,,,,,,,,"9. Buscar los referentes que se adaptan a cada espacio , realizar algunos sketch para profundizar en el estilo de cada espacio .",,,,,,,,,,,,,,,,,
1215259613824817,2026-05-29,,2026-05-29,ZONE 2  : Comedor  ,,,,,,,,,"9. Buscar los referentes que se adaptan a cada espacio , realizar algunos sketch para profundizar en el estilo de cada espacio .",,,,,,,,,,,,,,,,,
1215259613825046,2026-05-29,,2026-05-29,ZONE 3 : Balcon ,,,,,,,,,"9. Buscar los referentes que se adaptan a cada espacio , realizar algunos sketch para profundizar en el estilo de cada espacio .",,,,,,,,,,,,,,,,,
1215259613825051,2026-05-29,,2026-05-29,ZONE 4 : Sala  ,,,,,,,,,"9. Buscar los referentes que se adaptan a cada espacio , realizar algunos sketch para profundizar en el estilo de cada espacio .",,,,,,,,,,,,,,,,,
1215259613825056,2026-05-29,,2026-05-29,ZONE  5: Cocina  ,,,,,,,,,"9. Buscar los referentes que se adaptan a cada espacio , realizar algunos sketch para profundizar en el estilo de cada espacio .",,,,,,,,,,,,,,,,,
1215259748817265,2026-05-29,,2026-05-29,MODUL 1.  ISLAN,,,,,,,,,ZONE  5: Cocina  ,,,,,,,,,,,,,,,,,
1215259748817270,2026-05-29,,2026-05-29,MODUL 2.  SHELVES / SAVERS / OVEN,,,,,,,,,ZONE  5: Cocina  ,,,,,,,,,,,,,,,,,
1215259748817275,2026-05-29,,2026-05-29,MODUL 3. GARDEN ,,,,,,,,,ZONE  5: Cocina  ,,,,,,,,,,,,,,,,,
1215259748817280,2026-05-29,,2026-05-29,MODUL 4. cupboard,,,,,,,,,ZONE  5: Cocina  ,,,,,,,,,,,,,,,,,
1215259748817285,2026-05-29,,2026-05-29,MODUL 5. LOUNDRY ,,,,,,,,,ZONE  5: Cocina  ,,,,,,,,,,,,,,,,,
1215259613853823,2026-05-29,,2026-05-29,ZONE 6 . Habitacion para Invitados / Estudio ,,,,,,,,,"9. Buscar los referentes que se adaptan a cada espacio , realizar algunos sketch para profundizar en el estilo de cada espacio .",,,,,,,,,,,,,,,,,
1215259613853848,2026-05-29,,2026-05-29,1. ROOM ,,,,,,,,,ZONE 6 . Habitacion para Invitados / Estudio ,,,,,,,,,,,,,,,,,
1215259782669913,2026-05-29,,2026-05-29,2. BATH ROOM ,,,,,,,,,ZONE 6 . Habitacion para Invitados / Estudio ,,,,,,,,,,,,,,,,,
1215259782669918,2026-05-29,,2026-05-29,3. STUDI ,,,,,,,,,ZONE 6 . Habitacion para Invitados / Estudio ,,,,,,,,,,,,,,,,,
1215259613853828,2026-05-29,,2026-05-29,ZONE 7 : Area del Bar ,,,,,,,,,"9. Buscar los referentes que se adaptan a cada espacio , realizar algunos sketch para profundizar en el estilo de cada espacio .",,,,,,,,,,,,,,,,,
1215259613853833,2026-05-29,,2026-05-29,ZONE 8 : Bano social,,,,,,,,,"9. Buscar los referentes que se adaptan a cada espacio , realizar algunos sketch para profundizar en el estilo de cada espacio .",,,,,,,,,,,,,,,,,
1215259613853838,2026-05-29,,2026-05-29,ZONE 9  : Habitacion principal  ,,,,,,,,,"9. Buscar los referentes que se adaptan a cada espacio , realizar algunos sketch para profundizar en el estilo de cada espacio .",,,,,,,,,,,,,,,,,
1215259782669923,2026-05-29,,2026-05-29,1. BATH ROOM ,,,,,,,,,ZONE 9  : Habitacion principal  ,,,,,,,,,,,,,,,,,
1215259782669928,2026-05-29,,2026-05-29,2. FITTING ROOM,,,,,,,,,ZONE 9  : Habitacion principal  ,,,,,,,,,,,,,,,,,
1215259613853843,2026-05-29,,2026-05-29,ZONE 10 : Cine  ,,,,,,,,,"9. Buscar los referentes que se adaptan a cada espacio , realizar algunos sketch para profundizar en el estilo de cada espacio .",,,,,,,,,,,,,,,,,
1215259782669933,2026-05-29,,2026-05-29,ZONA 11 : Terraza,,,,,,,,,"9. Buscar los referentes que se adaptan a cada espacio , realizar algunos sketch para profundizar en el estilo de cada espacio .",,,,,,,,,,,,,,,,,
1215259782664044,2026-05-29,,2026-05-29,10. Esquema de referencia de la intencion de Iluminacion  ,,,,,,,,,6. PRIMERA REUNION DE DISEÑO CON EL CLIENTE ,,,,,,,,,,,,,,,,,
1215259782664049,2026-05-29,,2026-05-29,11. Alsado tridimencional  del espacio interior para tener el contenedor  ,,,,,,,,,6. PRIMERA REUNION DE DISEÑO CON EL CLIENTE ,,,,,,,,,,,,,,,,,
1215259692091860,2026-05-29,,2026-05-29,12. SEGUNDA REUNION DE DISENO CON EL CLIENTE ,DISEÑO,Aleja Guerra lotero,,,,,,PROYECTO HOY ,,,,,,,,,,,,,,,,,,
1215259782669938,2026-05-29,,2026-05-29,12. Ubicar el punto del proceso en el que vamos en la presentacion con cliente,,,,,,,,,12. SEGUNDA REUNION DE DISENO CON EL CLIENTE ,,,,,,,,,,,,,,,,,
1215259782669943,2026-05-29,,2026-05-29,13. Modelado tridimencional del diseno ,,,,,,,,,12. SEGUNDA REUNION DE DISENO CON EL CLIENTE ,,,,,,,,,,,,,,,,,
1215259619861216,2026-05-29,,2026-05-29,13. 1  MODELADO DE CADA ESPACIO DE PRIMERA PLANTA ,,,,,,,"Acabados , cerramientos , techos , instalaciones electricas ",,13. Modelado tridimencional del diseno ,,,,,,,,,,,,,,,,,
1215259619861223,2026-05-29,,2026-05-29,13. 2  2D planos del espacio con todo especificado  ,,,,,,,,,13. Modelado tridimencional del diseno ,,,,,,,,,,,,,,,,,
1215259692132679,2026-05-29,,2026-05-29,"PLANTA DE PRIMER PISO Con mobiliario , con cocina, alacena  y lavanderia para descripcion de material y detalles del espacio   ",,,,,,,,,13. 2  2D planos del espacio con todo especificado  ,,,,,,,,,,,,,,,,,
1215259692132685,2026-05-29,,2026-05-29,"Planta de cocina con todo los detalles en planta y 2 cortes , subir la imagen de los materiales y detalles importantes ",,,,,,,,,13. 2  2D planos del espacio con todo especificado  ,,,,,,,,,,,,,,,,,
1215259619861228,2026-05-29,,2026-05-29,13. 3 Diseño de mobiliario que se va a fabrir modelo 3d para aprobacion ,,,,,,,,,13. Modelado tridimencional del diseno ,,,,,,,,,,,,,,,,,
1215259692132691,2026-05-29,,2026-05-29,a. Banca de balcon,,,,,,,,,13. 3 Diseño de mobiliario que se va a fabrir modelo 3d para aprobacion ,,,,,,,,,,,,,,,,,
1215259692132696,2026-05-29,,2026-05-29,"b. Base de las materas las cuales previamente seran enchapadas con bloques de concreto , que van a recibir agua y que tienen doble canala para instalacion de luz superior e instalacion de luz inferior . Instalacion en pared y perforaciones para acople de luz con tranformador ",,,,,,,,,13. 3 Diseño de mobiliario que se va a fabrir modelo 3d para aprobacion ,,,,,,,,,,,,,,,,,
1215259692132701,2026-05-29,,2026-05-29,"c. Habitacion de Invitados , Cama, Mesa de estudio , Pared y techo en madera , ",,,,,,,,,13. 3 Diseño de mobiliario que se va a fabrir modelo 3d para aprobacion ,,,,,,,,,,,,,,,,,
1215259692140113,2026-05-29,,2026-05-29,"d. Bar de habiatacion secundaria llamada bar , en metal y mesa de barra para preparacion de cocteles y sentarse a jugar juegos de mesa ",,,,,,,,,13. 3 Diseño de mobiliario que se va a fabrir modelo 3d para aprobacion ,,,,,,,,,,,,,,,,,
1215259692140118,2026-05-29,,2026-05-29,e. Mueble de cine ,,,,,,,,,13. 3 Diseño de mobiliario que se va a fabrir modelo 3d para aprobacion ,,,,,,,,,,,,,,,,,
1215259692140123,2026-05-29,,2026-05-29,"F. Acabado de paredes en habitacion prinicpal , laterales en hierro y espaladar en tablillas de madera ",,,,,,,,,13. 3 Diseño de mobiliario que se va a fabrir modelo 3d para aprobacion ,,,,,,,,,,,,,,,,,
1215259692140128,2026-05-29,,2026-05-29,g. Cama y nocheros de habiatacion ,,,,,,,,,13. 3 Diseño de mobiliario que se va a fabrir modelo 3d para aprobacion ,,,,,,,,,,,,,,,,,
1215259692140133,2026-05-29,,2026-05-29,h. Movencion de puerta de vestier y ajuste de entrepanos ,,,,,,,,,13. 3 Diseño de mobiliario que se va a fabrir modelo 3d para aprobacion ,,,,,,,,,,,,,,,,,
1215259692132674,2026-05-29,,2026-05-29,13. 4 Especificacion de mobilairio y detalles que se van a comprar ,,,,,,,,,13. Modelado tridimencional del diseno ,,,,,,,,,,,,,,,,,
1215259619861205,2026-05-29,,2026-05-29,13. DISENO A PROFUNDIDAD DE CADA ESPACIO ,,,,,,,Cada uno de las estancias dentro del espacio llevan la descripcion de los puntos aca descritos ,,12. SEGUNDA REUNION DE DISENO CON EL CLIENTE ,,,,,,,,,,,,,,,,,
1215259692140138,2026-05-29,,2026-05-29,1. Atmosfera,,,,,,,,,13. DISENO A PROFUNDIDAD DE CADA ESPACIO ,,,,,,,,,,,,,,,,,
1215259692140143,2026-05-29,,2026-05-29,2. Circulacion ,,,,,,,,,13. DISENO A PROFUNDIDAD DE CADA ESPACIO ,,,,,,,,,,,,,,,,,
1215259613866884,2026-05-29,,2026-05-29,3. Ventilacion natural yartificial ,,,,,,,,,13. DISENO A PROFUNDIDAD DE CADA ESPACIO ,,,,,,,,,,,,,,,,,
1215259613866889,2026-05-29,,2026-05-29,4. Iluminacion  natural y artificial ,,,,,,,,,13. DISENO A PROFUNDIDAD DE CADA ESPACIO ,,,,,,,,,,,,,,,,,
1215259613866894,2026-05-29,,2026-05-29,5. Cerramientos ,,,,,,,,,13. DISENO A PROFUNDIDAD DE CADA ESPACIO ,,,,,,,,,,,,,,,,,
1215259748853636,2026-05-29,,2026-05-29, 6. Color,,,,,,,,,13. DISENO A PROFUNDIDAD DE CADA ESPACIO ,,,,,,,,,,,,,,,,,
1215259748853641,2026-05-29,,2026-05-29,7. Acabados ,,,,,,,,,13. DISENO A PROFUNDIDAD DE CADA ESPACIO ,,,,,,,,,,,,,,,,,
1215259748853646,2026-05-29,,2026-05-29,8. Mobiliario,,,,,,,,,13. DISENO A PROFUNDIDAD DE CADA ESPACIO ,,,,,,,,,,,,,,,,,
1215259782685870,2026-05-29,,2026-05-29,9. Detalles ,,,,,,,,,13. DISENO A PROFUNDIDAD DE CADA ESPACIO ,,,,,,,,,,,,,,,,,
1215259619861211,2026-05-29,,2026-05-29,"14. MIGRAR las imagenes 3d con nuestro diseno a la presentacion , remplazando los referentes por las creaciones del estudio. ",,,,,,,,,12. SEGUNDA REUNION DE DISENO CON EL CLIENTE ,,,,,,,,,,,,,,,,,
1215259692091868,2026-05-29,,2026-05-29,ENVIO DE PRESENTACION ,DISEÑO,Aleja Guerra lotero,,,,,,PROYECTO HOY ,,,,,,,,,,,,,,,,,,
1215259782685875,2026-05-29,,2026-05-29, ,,,,,,,,,ENVIO DE PRESENTACION ,,,,,,,,,,,,,,,,,
1215259782685880,2026-05-29,,2026-05-29,Entrega de modelo 3D,,,,,,,,, ,,,,,,,,,,,,,,,,,
1215259692091876,2026-05-29,,2026-05-29,LAST PAYMENT OF THE DESIGN ,DISEÑO,,,,,,,PROYECTO HOY ,,,,,,,,,,,,,,,,,,
1215259782685885,2026-05-29,,2026-05-29,Entrega de modelo 3D,,,,,,,,,LAST PAYMENT OF THE DESIGN ,,,,,,,,,,,,,,,,,
1215259619802874,2026-05-29,,2026-05-29,1.Todos los elementos de diseno migrados a EXCEL a la cotizacion formal ,COTIZACION,,,,,,,PROYECTO HOY ,,,,,,,,,,,,,,,,,,
1215259619802882,2026-05-29,,2026-05-29,2. Contactar los proveedores de cada elemento de obra con las especificaciones de diseno para que hagan sus cotizaciones ,COTIZACION,,,,,,,PROYECTO HOY ,,,,,,,,,,,,,,,,,,
1215259782652916,2026-05-29,,2026-05-29,PROVEETORS ,,,,,,,,,2. Contactar los proveedores de cada elemento de obra con las especificaciones de diseno para que hagan sus cotizaciones ,,,,,,,,,,,,,,,,,
1215259782652921,2026-05-29,,2026-05-29,1. Demolition,,,,,,,,,PROVEETORS ,,,,,,,,,,,,,,,,,
1215259782652926,2026-05-29,,2026-05-29,2. Plumber ,,,,,,,,,PROVEETORS ,,,,,,,,,,,,,,,,,
1215259782652931,2026-05-29,,2026-05-29,3. Electrician,,,,,,,,,PROVEETORS ,,,,,,,,,,,,,,,,,
1215259782652936,2026-05-29,,2026-05-29,4. Ceiling ,,,,,,,,,PROVEETORS ,,,,,,,,,,,,,,,,,
1215259748884437,2026-05-29,,2026-05-29,5. Floor ,,,,,,,,,PROVEETORS ,,,,,,,,,,,,,,,,,
1215259748884442,2026-05-29,,2026-05-29,"6. Builfer cement , drywall ",,,,,,,,,PROVEETORS ,,,,,,,,,,,,,,,,,
1215259748884447,2026-05-29,,2026-05-29,7. Plating,,,,,,,,,PROVEETORS ,,,,,,,,,,,,,,,,,
1215259748884452,2026-05-29,,2026-05-29,8. Dry wall,,,,,,,,,PROVEETORS ,,,,,,,,,,,,,,,,,
1215259748884457,2026-05-29,,2026-05-29,9. Instalation of elements ,,,,,,,,,PROVEETORS ,,,,,,,,,,,,,,,,,
1215259748884462,2026-05-29,,2026-05-29,10.Windows and doors ,,,,,,,,,PROVEETORS ,,,,,,,,,,,,,,,,,
1215259748884467,2026-05-29,,2026-05-29,11. Closing of everything ,,,,,,,,,PROVEETORS ,,,,,,,,,,,,,,,,,
1215259692121781,2026-05-29,,2026-05-29,12. wallpaper and painting ,,,,,,,,,PROVEETORS ,,,,,,,,,,,,,,,,,
1215259692121786,2026-05-29,,2026-05-29,13. Online buying,,,,,,,,,PROVEETORS ,,,,,,,,,,,,,,,,,
1215259692121791,2026-05-29,,2026-05-29,14. Lighting installation ,,,,,,,,,PROVEETORS ,,,,,,,,,,,,,,,,,
1215259692121796,2026-05-29,,2026-05-29,15. Wood and furniture ,,,,,,,,,PROVEETORS ,,,,,,,,,,,,,,,,,
1215259692121801,2026-05-29,,2026-05-29,16. Metalmecanic ,,,,,,,,,PROVEETORS ,,,,,,,,,,,,,,,,,
1215259619780144,2026-05-29,,2026-05-29,0. Mantenimiento de techo ,PRODUCTION,,,,,,,PROYECTO HOY ,,,,,,,,,,,,,,,,,,
1215259619780151,2026-05-29,,2026-05-29,1. Demolicion ,PRODUCTION,,,,,,,PROYECTO HOY ,,,,,,,,,,,,,,,,,,
1215259619780159,2026-05-29,,2026-05-29,1. Cocina paredes   ,,,,,,,,,1. Demolicion ,,,,,,,,,,,,,,,,,
1215259619780164,2026-05-29,,2026-05-29,2. Cocina techo ,,,,,,,,,1. Demolicion ,,,,,,,,,,,,,,,,,
1215259619780169,2026-05-29,,2026-05-29,3. Bano social ,,,,,,,,,1. Demolicion ,,,,,,,,,,,,,,,,,
1215259619787406,2026-05-29,,2026-05-29,4.lavanderia ,,,,,,,,,1. Demolicion ,,,,,,,,,,,,,,,,,
1215259619787411,2026-05-29,,2026-05-29,5.Cielos razos de  de segundo piso ,,,,,,,,,1. Demolicion ,,,,,,,,,,,,,,,,,
1215259619787416,2026-05-29,,2026-05-29,2.  Canchados  ,PRODUCTION,,,,,,,PROYECTO HOY ,,,,,,,,,,,,,,,,,,
1215259619802889,2026-05-29,,2026-05-29,1. Canchado para electricidad ,,,,,,,,,2.  Canchados  ,,,,,,,,,,,,,,,,,
1215259619802894,2026-05-29,,2026-05-29,2. Canchado para plomeria  ,,,,,,,,,2.  Canchados  ,,,,,,,,,,,,,,,,,
1215259619802899,2026-05-29,,2026-05-29,3. Canchado para Ventilacion  ,,,,,,,,,2.  Canchados  ,,,,,,,,,,,,,,,,,
1215259782664245,2026-05-29,,2026-05-29,4. Canchado para domotica ,,,,,,,,,2.  Canchados  ,,,,,,,,,,,,,,,,,
1215259619787424,2026-05-29,,2026-05-29,"3. Tirado de tuberias de ventilacion , de plomeria , y gas ",PRODUCTION,,,,,,,PROYECTO HOY ,,,,,,,,,,,,,,,,,,
1215259619787432,2026-05-29,,2026-05-29,4. Mamposteria,PRODUCTION,,,,,,,PROYECTO HOY ,,,,,,,,,,,,,,,,,,
1215259782664250,2026-05-29,,2026-05-29,1. Piso de concreto basiado ,,,,,,,,,4. Mamposteria,,,,,,,,,,,,,,,,,
1215259782664255,2026-05-29,,2026-05-29,2.,,,,,,,,,4. Mamposteria,,,,,,,,,,,,,,,,,
1215259782664260,2026-05-29,,2026-05-29,3. materas baño,,,,,,,,,4. Mamposteria,,,,,,,,,,,,,,,,,
1215259782664265,2026-05-29,,2026-05-29,4. luminarias en paredes,,,,,,,,,4. Mamposteria,,,,,,,,,,,,,,,,,
1215259692121806,2026-05-29,,2026-05-29,5. Contratacion de proveedores de metalmecanica y Carpinteria ,PRODUCTION,Aleja Guerra lotero,,,,,,PROYECTO HOY ,,,,,,,,,,,,,,,,,,
1215259619851803,2026-05-29,,2026-05-29,1. Espejos  ,,,,,,,,,5. Contratacion de proveedores de metalmecanica y Carpinteria ,,,,,,,,,,,,,,,,,
1215259619851809,2026-05-29,,2026-05-29,"2. Materas de balcon , planos constructivos y de isntalacion , 3d ",,,,,,,,,5. Contratacion de proveedores de metalmecanica y Carpinteria ,,,,,,,,,,,,,,,,,
1215259619851815,2026-05-29,,2026-05-29,3. Transformacion de banca ,,,,,,,,,5. Contratacion de proveedores de metalmecanica y Carpinteria ,,,,,,,,,,,,,,,,,
1215259619851821,2026-05-29,,2026-05-29,4. Fabricacion de sofa  ,,,,,,,,,5. Contratacion de proveedores de metalmecanica y Carpinteria ,,,,,,,,,,,,,,,,,
1215259619851827,2026-05-29,,2026-05-29,5. Cristal element under the table ,,,,,,,,,5. Contratacion de proveedores de metalmecanica y Carpinteria ,,,,,,,,,,,,,,,,,
1215259619850556,2026-05-29,,2026-05-29,6.Puertas vidrierdas y tragaluces  ,PRODUCTION,,,,,,,PROYECTO HOY ,,,,,,,,,,,,,,,,,,
1215259619850564,2026-05-29,,2026-05-29,7. Botanica  ,PRODUCTION,,,,,,,PROYECTO HOY ,,,,,,,,,,,,,,,,,,
1215259619850572,2026-05-29,,2026-05-29,8. Plomeria  ,PRODUCTION,,,,,,,PROYECTO HOY ,,,,,,,,,,,,,,,,,,
1215259748897498,2026-05-29,,2026-05-29,1. Kitchen ,,,,,,,,,8. Plomeria  ,,,,,,,,,,,,,,,,,
1215259748897503,2026-05-29,,2026-05-29,2. Point in the living room ,,,,,,,,,8. Plomeria  ,,,,,,,,,,,,,,,,,
1215259748897508,2026-05-29,,2026-05-29,3. Point in the balcony ,,,,,,,,,8. Plomeria  ,,,,,,,,,,,,,,,,,
1215259748897513,2026-05-29,,2026-05-29,4. puntos para aerea de servicio,,,,,,,,,8. Plomeria  ,,,,,,,,,,,,,,,,,
1215259619850580,2026-05-29,,2026-05-29,9. Muro lloron y jacuzzi  ,PRODUCTION,,,,,,,PROYECTO HOY ,,,,,,,,,,,,,,,,,,
1215259613824862,2026-05-29,,2026-05-29,1. Empresa ,,,,,,,,,9. Muro lloron y jacuzzi  ,,,,,,,,,,,,,,,,,
1215259691957044,2026-05-29,,2026-05-29,10. Techos  ,PRODUCTION,,,,,,,PROYECTO HOY ,,,,,,,,,,,,,,,,,,
1215259613773630,2026-05-29,,2026-05-29,1. Mantenimiento de techo ,,,,,,,,,10. Techos  ,,,,,,,,,,,,,,,,,
1215259613773635,2026-05-29,,2026-05-29,2. Unficacion de color de techo de cocina tipo Industrial antiguo ,,,,,,,,,10. Techos  ,,,,,,,,,,,,,,,,,
1215259613773640,2026-05-29,,2026-05-29,3. Construccion de casetones en habiatacion principal ,,,,,,,,,10. Techos  ,,,,,,,,,,,,,,,,,
1215259613773645,2026-05-29,,2026-05-29,4. Reposision de tablillas en mal estado en Techo de cine y color para todo ese sector ,,,,,,,,,10. Techos  ,,,,,,,,,,,,,,,,,
1215259613773650,2026-05-29,,2026-05-29,5. Instalacion de techo y pared de habiatacion de huespedes ,,,,,,,,,10. Techos  ,,,,,,,,,,,,,,,,,
1215259619721085,2026-05-29,,2026-05-29,11. ELECTRICIDAD ,PRODUCTION,Aleja Guerra lotero,,,,,,PROYECTO HOY ,,,,,,,,,,,,,,,,,,
1215259613773656,2026-05-29,,2026-05-29,"1. Instalacion de tecnologia , puntos para televisores , camaras y proyectroes ",,,,,,,,,11. ELECTRICIDAD ,,,,,,,,,,,,,,,,,
1215259613775805,2026-05-29,,2026-05-29,2.Puntos para Bombillas  ,,,,,,,,,11. ELECTRICIDAD ,,,,,,,,,,,,,,,,,
1215259613775810,2026-05-29,,2026-05-29,3. 220 electricidad para equipos en cocina ,,,,,,,,,11. ELECTRICIDAD ,,,,,,,,,,,,,,,,,
1215259613775815,2026-05-29,,2026-05-29,4. Cableado electrico expuesto ,,Aleja Guerra lotero,,,,,,,11. ELECTRICIDAD ,,,,,,,,,,,,,,,,,
1215259613775821,2026-05-29,,2026-05-29,5. Adecuaciones electricas en cocina ,,,,,,,,,11. ELECTRICIDAD ,,,,,,,,,,,,,,,,,
1215259613775826,2026-05-29,,2026-05-29,6. Adecuaciones electricas en banos ,,,,,,,,,11. ELECTRICIDAD ,,,,,,,,,,,,,,,,,
1215259613775831,2026-05-29,,2026-05-29,7. Puntos electricos de cortinas  ,,,,,,,,,11. ELECTRICIDAD ,,,,,,,,,,,,,,,,,
1215259782630116,2026-05-29,,2026-05-29,8. Adecuacion de punto de luz para jabonero por lacer y aire en pared ,,,,,,,,,11. ELECTRICIDAD ,,,,,,,,,,,,,,,,,
1215259782630121,2026-05-29,,2026-05-29,9. Perfiles led con cinta led y tranformadores  ,,,,,,,,,11. ELECTRICIDAD ,,,,,,,,,,,,,,,,,
1215259782630126,2026-05-29,,2026-05-29,10. Luminarias decorativas  ,,,,,,,,,11. ELECTRICIDAD ,,,,,,,,,,,,,,,,,
1215259782630131,2026-05-29,,2026-05-29,11. Switches de toda la casa ,,,,,,,,,11. ELECTRICIDAD ,,,,,,,,,,,,,,,,,
1215259619721093,2026-05-29,,2026-05-29,12. PISO,PRODUCTION,,,,,,,PROYECTO HOY ,,,,,,,,,,,,,,,,,,
1215259782630136,2026-05-29,,2026-05-29,"1. Apartment , semco ",,,,,,,,,12. PISO,,,,,,,,,,,,,,,,,
1215259782630141,2026-05-29,,2026-05-29,2. Terraza federico ,,,,,,,,,12. PISO,,,,,,,,,,,,,,,,,
1215259619721101,2026-05-29,,2026-05-29,13. COCINA  ,PRODUCTION,,,,,,,PROYECTO HOY ,,,,,,,,,,,,,,,,,,
1215259782630146,2026-05-29,,2026-05-29,1. Compra de campana de extraccion y pozuelo ,,,,,,,,,13. COCINA  ,,,,,,,,,,,,,,,,,
1215259782630408,2026-05-29,,2026-05-29,2. Compra de canilla antigua oro desgastado para cocina ,,,,,,,,,13. COCINA  ,,,,,,,,,,,,,,,,,
1215259782630413,2026-05-29,,2026-05-29,3. Compara destructor de alimentos ,,,,,,,,,13. COCINA  ,,,,,,,,,,,,,,,,,
1215259782630418,2026-05-29,,2026-05-29,"4. Compra de ladrillo negro de decorceramica enviado a whatsapp referencia , ladrillo va como enchape de cocina y de parte de lavanderia ",,,,,,,,,13. COCINA  ,,,,,,,,,,,,,,,,,
1215259782630424,2026-05-29,,2026-05-29,5. Ubicar el cronograma de trabajo de la cocina dentro de este programa para integracion de todo el flujo de trabajo del equipo ALUZINA ,,,,,,,,,13. COCINA  ,,,,,,,,,,,,,,,,,
1215259619721109,2026-05-29,,2026-05-29,14. ACABADOS ,PRODUCTION,,,,,,En cada una de las actividades puedes poner si quieres las medidas o no la idea es que esta sea tu guia para que una ves este comprado se valla mostrando en el flujo de trabajo ,PROYECTO HOY ,,,,,,,,,,,,,,,,,,
