Task ID,Created At,Completed At,Last Modified,Name,Section/Column,Assignee,Assignee Email,Start Date,Due Date,Tags,Notes,Projects,Parent task,Blocked By (Dependencies),Blocking (Dependencies),DELVERY DATE ,OBSERVATONS ,COMENTARIOS,Start Date,Status
1205087819641363,2023-07-18,,2023-07-18,MODUL 1.  ISLAN,,,,,,,,,ZONE  5: KITCHEN ,,,,,,,
1205087819641364,2023-07-18,,2023-07-18,MODUL 2.  SHELVES / SAVERS / OVEN,,,,,,,,,ZONE  5: KITCHEN ,,,,,,,
1205087819641365,2023-07-18,,2023-07-18,MODUL 3. GARDEN ,,,,,,,,,ZONE  5: KITCHEN ,,,,,,,
1205087819641366,2023-07-18,,2023-07-18,MODUL 4. cupboard,,,,,,,,,ZONE  5: KITCHEN ,,,,,,,
1205087819641367,2023-07-18,,2023-07-18,MODUL 5. LOUNDRY ,,,,,,,,,ZONE  5: KITCHEN ,,,,,,,
1205087819641357,2023-07-18,,2026-05-17,ZONE 6 . GUEST ROOM ,,,,,,,,,7. DESIGN EACH SPACE WITH ITS REQUIRMNTS ,,,,,,,
1205087819641369,2023-07-18,,2023-07-18,1. ROOM ,,,,,,,,,ZONE 6 . GUEST ROOM ,,,,,,,
1205087819641370,2023-07-18,,2023-07-18,2. BATH ROOM ,,,,,,,,,ZONE 6 . GUEST ROOM ,,,,,,,
1205087819641371,2023-07-18,,2023-07-18,3. STUDI ,,,,,,,,,ZONE 6 . GUEST ROOM ,,,,,,,
1205087819641358,2023-07-18,,2023-07-18,ZONE 7 : BAR AREA ,,,,,,,,,7. DESIGN EACH SPACE WITH ITS REQUIRMNTS ,,,,,,,
1205087819641359,2023-07-18,,2023-07-18,ZONE 8 : SOCIAL BATH ROOM,,,,,,,,,7. DESIGN EACH SPACE WITH ITS REQUIRMNTS ,,,,,,,
1205087819641360,2023-07-18,,2026-05-17,ZONE 9  : MASTER BED ROOM ,,,,,,,,,7. DESIGN EACH SPACE WITH ITS REQUIRMNTS ,,,,,,,
1205087819641373,2023-07-18,,2023-07-18,1. BATH ROOM ,,,,,,,,,ZONE 9  : MASTER BED ROOM ,,,,,,,
1205087819641374,2023-07-18,,2023-07-18,2. FITTING ROOM,,,,,,,,,ZONE 9  : MASTER BED ROOM ,,,,,,,
1205087819641361,2023-07-18,,2023-07-18,ZONE 10 : CINEMA ,,,,,,,,,7. DESIGN EACH SPACE WITH ITS REQUIRMNTS ,,,,,,,
1205087819641347,2023-07-18,,2023-07-18,8. LIGHTING DESIGN ,,,,,,,,,First Design Meeting with the Client,,,,,,,
1205087819641348,2023-07-18,,2023-07-18,9. DESIGN OF FURNITURE THAT WE ARE NOT GOING TO SPECIFY OR BUY,,,,,,,,,First Design Meeting with the Client,,,,,,,
1205087819641349,2023-07-18,,2023-07-18,10. 3D MODELING ,,,,,,,,,First Design Meeting with the Client,,,,,,,
1205087819641350,2023-07-18,,2026-05-17,11. MERGE INFROMATION OF DESIGN IN THE PRESENTATION CHANGING THE REFERENSES PICTURES FOR OUR DESIGN CONTENT ,,,,,,,,,First Design Meeting with the Client,,,,,,,
1205087819641376,2023-07-18,,2023-07-18,All the content of the first presentation changing the 3d actual models and the description of lightind and furniture ,,,,,,,,,11. MERGE INFROMATION OF DESIGN IN THE PRESENTATION CHANGING THE REFERENSES PICTURES FOR OUR DESIGN CONTENT ,,,,,,,
1205087819641314,2023-07-18,,2026-05-17,Second Meeting with the Client,DESIGN,Aleja Guerra lotero,,,2023-07-26,,,WORK CHRONOGRAM ALUZINA ENGLISH ,,,,2023-07-28,,,,
1205087819641378,2023-07-18,,2026-05-17,"12. Design correction in the 3d model and details of furnitures , measures of spaces , specification of each element",,,,,,,,,Second Meeting with the Client,,,,,,,
1205087819641381,2023-07-18,,2023-07-18,1. 3d model of each space and details,,,,,,,,,"12. Design correction in the 3d model and details of furnitures , measures of spaces , specification of each element",,,,,,,
1205087819641382,2023-07-18,,2023-07-18,2. 2d plans of the space and constructive specifications ,,,,,,,,,"12. Design correction in the 3d model and details of furnitures , measures of spaces , specification of each element",,,,,,,
1205087819641383,2023-07-18,,2023-07-18,3. Specifications of each furniture and detail ,,,,,,,,,"12. Design correction in the 3d model and details of furnitures , measures of spaces , specification of each element",,,,,,,
1205087819641379,2023-07-18,,2026-05-17,13. LAST PRESENTATION TO DELIVERE ,,,,,,,,,Second Meeting with the Client,,,,,,,
1205087819641385,2023-07-18,,2023-07-18,EACH SPACE MUST DESCRIBE: ,,,,,,,,,13. LAST PRESENTATION TO DELIVERE ,,,,,,,
1205087819641391,2023-07-18,,2023-07-18,1. Atmosphere,,,,,,,,,13. LAST PRESENTATION TO DELIVERE ,,,,,,,
1205087819641392,2023-07-18,,2023-07-18,2. Circulation,,,,,,,,,13. LAST PRESENTATION TO DELIVERE ,,,,,,,
1205087819641393,2023-07-18,,2023-07-18,3. Ventilation,,,,,,,,,13. LAST PRESENTATION TO DELIVERE ,,,,,,,
1205087819641394,2023-07-18,,2023-07-18,4. Lighting,,,,,,,,,13. LAST PRESENTATION TO DELIVERE ,,,,,,,
1205087819641395,2023-07-18,,2023-07-18,5. Closures,,,,,,,,,13. LAST PRESENTATION TO DELIVERE ,,,,,,,
1205087819641396,2023-07-18,,2023-07-18, 6. Color,,,,,,,,,13. LAST PRESENTATION TO DELIVERE ,,,,,,,
1205087819641397,2023-07-18,,2023-07-18,7. Finished,,,,,,,,,13. LAST PRESENTATION TO DELIVERE ,,,,,,,
1205087819641398,2023-07-18,,2023-07-18,8. Furniture,,,,,,,,,13. LAST PRESENTATION TO DELIVERE ,,,,,,,
1205087819641399,2023-07-18,,2023-07-18,9. Detail,,,,,,,,,13. LAST PRESENTATION TO DELIVERE ,,,,,,,
1205087819641316,2023-07-18,,2023-07-19,Delivere of Presentation,DESIGN,Aleja Guerra lotero,,,,,,WORK CHRONOGRAM ALUZINA ENGLISH ,,,,,,,,
1205087819641401,2023-07-18,,2026-05-17,LAST PAYMENT OF THE DESIGN ,,,,,,,,,Delivere of Presentation,,,,,,,
1205087819641402,2023-07-18,,2023-07-18,Entrega de modelo 3D,,,,,,,,,LAST PAYMENT OF THE DESIGN ,,,,,,,
1205093906100185,2023-07-19,,2023-07-19,LAST PAYMENT OF THE DESIGN ,DESIGN,,,,,,,WORK CHRONOGRAM ALUZINA ENGLISH ,,,,,,,,
1205093906100187,2023-07-19,,2023-07-19,Entrega de modelo 3D,,,,,,,,,LAST PAYMENT OF THE DESIGN ,,,,,,,
1205087819641404,2023-07-18,,2026-05-17,1.ALL THE DESIGN ELEMENTS MIGRATE IN THE FORMAT OF QUOTATION TO EXCEL,QUOTATION,,,,,,,WORK CHRONOGRAM ALUZINA ENGLISH ,,,,,,,,
1205087819641412,2023-07-18,,2023-07-19,2. CONTACT PROVEEDORS OF EACH ELEMENT SENDING IMAGE OF REFERENCES OF FINAL WITH SPECIFICATIONS ,QUOTATION,,,,,,,WORK CHRONOGRAM ALUZINA ENGLISH ,,,,,,,,
1205087819641414,2023-07-18,,2026-05-17,PROVEETORS ,,,,,,,,,2. CONTACT PROVEEDORS OF EACH ELEMENT SENDING IMAGE OF REFERENCES OF FINAL WITH SPECIFICATIONS ,,,,,,,
1205087819641415,2023-07-18,,2023-07-18,1. Demolition,,,,,,,,,PROVEETORS ,,,,,,,
1205087819641416,2023-07-18,,2023-07-18,2. Plumber ,,,,,,,,,PROVEETORS ,,,,,,,
1205087819641417,2023-07-18,,2023-07-18,3. Electrician,,,,,,,,,PROVEETORS ,,,,,,,
1205087819641418,2023-07-18,,2023-07-18,4. Ceiling ,,,,,,,,,PROVEETORS ,,,,,,,
1205087819641419,2023-07-18,,2023-07-18,5. Floor ,,,,,,,,,PROVEETORS ,,,,,,,
1205087819641420,2023-07-18,,2023-07-18,"6. Builfer cement , drywall ",,,,,,,,,PROVEETORS ,,,,,,,
1205087819641421,2023-07-18,,2023-07-18,7. Plating,,,,,,,,,PROVEETORS ,,,,,,,
1205087819641422,2023-07-18,,2023-07-18,8. Dry wall,,,,,,,,,PROVEETORS ,,,,,,,
1205087819641423,2023-07-18,,2023-07-18,9. Instalation of elements ,,,,,,,,,PROVEETORS ,,,,,,,
1205087819641425,2023-07-18,,2023-07-18,10.Windows and doors ,,,,,,,,,PROVEETORS ,,,,,,,
1205087819641426,2023-07-18,,2023-07-18,11. Closing of everything ,,,,,,,,,PROVEETORS ,,,,,,,
1205087819641427,2023-07-18,,2023-07-18,12. wallpaper and painting ,,,,,,,,,PROVEETORS ,,,,,,,
1205087819641428,2023-07-18,,2023-07-18,13. Online buying,,,,,,,,,PROVEETORS ,,,,,,,
1205087819641429,2023-07-18,,2023-07-18,14. Lighting installation ,,,,,,,,,PROVEETORS ,,,,,,,
1205087819641430,2023-07-18,,2023-07-18,15. Wood and furniture ,,,,,,,,,PROVEETORS ,,,,,,,
1205087819641431,2023-07-18,,2023-07-18,16. Metalmecanic ,,,,,,,,,PROVEETORS ,,,,,,,
1205087819641434,2023-07-18,,2026-05-17,1. Demolition ,PRODUCTION,,,,,,,WORK CHRONOGRAM ALUZINA ENGLISH ,,,,,,,,
1205090132795539,2023-07-19,,2023-07-19,1. kitchen ,,,,,,,,,1. Demolition ,,,,,,,
1205090132795540,2023-07-19,,2023-07-19,2. wall,,,,,,,,,1. Demolition ,,,,,,,
1205090132795541,2023-07-19,,2023-07-19,3. bath room,,,,,,,,,1. Demolition ,,,,,,,
1205097219453565,2023-07-19,,2023-07-19,4. loundry,,,,,,,,,1. Demolition ,,,,,,,
1205097219453566,2023-07-19,,2023-07-19,5.ceyling,,,,,,,,,1. Demolition ,,,,,,,
1205087819641436,2023-07-18,,2023-07-19,2.  court ,PRODUCTION,,,,,,,WORK CHRONOGRAM ALUZINA ENGLISH ,,,,,,,,
1205090132795543,2023-07-19,,2023-07-19,1. electric court ,,,,,,,,,2.  court ,,,,,,,
1205090132795544,2023-07-19,,2023-07-19,2. lumbert court ,,,,,,,,,2.  court ,,,,,,,
1205090132795545,2023-07-19,,2023-07-19,3. Ventilation ,,,,,,,,,2.  court ,,,,,,,
1205090132795546,2023-07-19,,2023-07-19,4. Domotic ,,,,,,,,,2.  court ,,,,,,,
1205087819641438,2023-07-18,,2023-07-19,3. mamposteria,PRODUCTION,,,,,,,WORK CHRONOGRAM ALUZINA ENGLISH ,,,,,,,,
1205090132795547,2023-07-19,,2023-07-19,1. Floor ,,,,,,,,,3. mamposteria,,,,,,,
1205090132795548,2023-07-19,,2023-07-19,2.,,,,,,,,,3. mamposteria,,,,,,,
1205090132795549,2023-07-19,,2023-07-19,3. materas baño,,,,,,,,,3. mamposteria,,,,,,,
1205090132795550,2023-07-19,,2023-07-19,4. luminarias en paredes,,,,,,,,,3. mamposteria,,,,,,,
1205087819641440,2023-07-18,,2026-05-17,"4. Contact providors of Metalmecanic and furniture to see proposals , prices and ",PRODUCTION,,,,,,,WORK CHRONOGRAM ALUZINA ENGLISH ,,,,,,,,
1205090132795553,2023-07-19,,2023-07-19,1. Mirrors ,,,,,,,,,"4. Contact providors of Metalmecanic and furniture to see proposals , prices and ",,,,,,,
1205090132795554,2023-07-19,,2023-07-19,2. Pots balcony,,,,,,,,,"4. Contact providors of Metalmecanic and furniture to see proposals , prices and ",,,,,,,
1205090132795556,2023-07-19,,2023-07-19,3. Banch tranformation,,,,,,,,,"4. Contact providors of Metalmecanic and furniture to see proposals , prices and ",,,,,,,
1205090132795557,2023-07-19,,2023-07-19,4. Sofa maquing ,,,,,,,,,"4. Contact providors of Metalmecanic and furniture to see proposals , prices and ",,,,,,,
1205090132795558,2023-07-19,,2023-07-19,5. Cristal element under the table ,,,,,,,,,"4. Contact providors of Metalmecanic and furniture to see proposals , prices and ",,,,,,,
1205087819641442,2023-07-18,,2023-07-18,5. Botanic ,PRODUCTION,,,,,,,WORK CHRONOGRAM ALUZINA ENGLISH ,,,,,,,,
1205087819641444,2023-07-18,,2023-07-19,6. Plumber ,PRODUCTION,,,,,,,WORK CHRONOGRAM ALUZINA ENGLISH ,,,,,,,,
1205090132795559,2023-07-19,,2023-07-19,1. Kitchen ,,,,,,,,,6. Plumber ,,,,,,,
1205090132795560,2023-07-19,,2023-07-19,2. Point in the living room ,,,,,,,,,6. Plumber ,,,,,,,
1205090132795561,2023-07-19,,2023-07-19,3. Point in the balcony ,,,,,,,,,6. Plumber ,,,,,,,
1205090132795562,2023-07-19,,2023-07-19,4. puntos para aerea de servicio,,,,,,,,,6. Plumber ,,,,,,,
1205087819641446,2023-07-18,,2023-07-19,7. WATHER FALL ,PRODUCTION,,,,,,,WORK CHRONOGRAM ALUZINA ENGLISH ,,,,,,,,
1205090132795563,2023-07-19,,2023-07-19,1. Empresa ,,,,,,,,,7. WATHER FALL ,,,,,,,
1205087819641448,2023-07-18,,2026-05-17,8. Cellings ,PRODUCTION,,,,,,,WORK CHRONOGRAM ALUZINA ENGLISH ,,,,,,,,
1205090273281346,2023-07-19,,2023-07-19,"1. Cinema , masterbedroom , kitchen ",,,,,,,,,8. Cellings ,,,,,,,
1205087819641450,2023-07-18,,2023-07-19,9. ELECTRICITY,PRODUCTION,,,,,,,WORK CHRONOGRAM ALUZINA ENGLISH ,,,,,,,,
1205090273281348,2023-07-19,,2023-07-19,"1. Instalation of tecnology as tvs , as projectors , as led strips points ",,,,,,,,,9. ELECTRICITY,,,,,,,
1205090273281349,2023-07-19,,2023-07-19,2.Bulb points ,,,,,,,,,9. ELECTRICITY,,,,,,,
1205090273281350,2023-07-19,,2023-07-19,3. 220 electricity for equipment in kitchen ,,,,,,,,,9. ELECTRICITY,,,,,,,
1205090273281351,2023-07-19,,2023-07-19,4. Decorative lighting electric adecuation ,,,,,,,,,9. ELECTRICITY,,,,,,,
1205090273281352,2023-07-19,,2023-07-19,5. Electric adecuation in kitchen ,,,,,,,,,9. ELECTRICITY,,,,,,,
1205090273281353,2023-07-19,,2023-07-19,6. Electric adecuation in bathroom,,,,,,,,,9. ELECTRICITY,,,,,,,
1205090273281354,2023-07-19,,2023-07-19,7. Camaras light instalation ,,,,,,,,,9. ELECTRICITY,,,,,,,
1205090273281355,2023-07-19,,2023-07-19,8. Bathroom mirror and new light ,,,,,,,,,9. ELECTRICITY,,,,,,,
1205090273281356,2023-07-19,,2023-07-19,9. Sti lighting instalation ,,,,,,,,,9. ELECTRICITY,,,,,,,
1205090273281357,2023-07-19,,2023-07-19,10. Decorative lighting instaltion ,,,,,,,,,9. ELECTRICITY,,,,,,,
1205087819641452,2023-07-18,,2023-07-19,10. FLOOR,PRODUCTION,,,,,,,WORK CHRONOGRAM ALUZINA ENGLISH ,,,,,,,,
1205090273281358,2023-07-19,,2023-07-19,1. Apartment ,,,,,,,,,10. FLOOR,,,,,,,
1205090273281359,2023-07-19,,2023-07-19,2. Terraze,,,,,,,,,10. FLOOR,,,,,,,
1205087819641454,2023-07-18,,2023-07-19,11. ENCLOSURE,PRODUCTION,,,,,,,WORK CHRONOGRAM ALUZINA ENGLISH ,,,,,,,,
1205090273281360,2023-07-19,,2023-07-19,"1. Dry wall, super board ",,,,,,,,,11. ENCLOSURE,,,,,,,
1205090273281361,2023-07-19,,2023-07-19,2. Wood ,,,,,,,,,11. ENCLOSURE,,,,,,,
1205087819641456,2023-07-18,,2023-07-19,12. kitchen ,PRODUCTION,,,,,,,WORK CHRONOGRAM ALUZINA ENGLISH ,,,,,,,,
1205090273281362,2023-07-19,,2023-07-19,1. campana de extraccion,,,,,,,,,12. kitchen ,,,,,,,
1205090273281363,2023-07-19,,2023-07-19,"2. bell , Taps , Electric stufs of aluzina ",,,,,,,,,12. kitchen ,,,,,,,
1205087819641458,2023-07-18,,2023-07-19,13.finishes,PRODUCTION,,,,,,,WORK CHRONOGRAM ALUZINA ENGLISH ,,,,,,,,
1205090273281364,2023-07-19,,2023-07-19,1. Tile ,,,,,,,,,13.finishes,,,,,,,
1205090273281365,2023-07-19,,2023-07-19,2. wall paper,,,,,,,,,13.finishes,,,,,,,
1205090273281366,2023-07-19,,2023-07-19,3. paint,,,,,,,,,13.finishes,,,,,,,
1205087819641460,2023-07-18,,2023-07-19,14. Bathroom accessories ,PRODUCTION,,,,,,,WORK CHRONOGRAM ALUZINA ENGLISH ,,,,,,,,
1205090273281367,2023-07-19,,2023-07-19,1. lavatory,,,,,,,,,14. Bathroom accessories ,,,,,,,
1205090273281368,2023-07-19,,2023-07-19,2. wasbasin,,,,,,,,,14. Bathroom accessories ,,,,,,,
1205090273281369,2023-07-19,,2023-07-19,3. Dispenser soap,,,,,,,,,14. Bathroom accessories ,,,,,,,
1205090273281370,2023-07-19,,2023-07-19,4. Dispenser fragance ,,,,,,,,,14. Bathroom accessories ,,,,,,,
1205090273281371,2023-07-19,,2023-07-19,5.Hands dryer,,,,,,,,,14. Bathroom accessories ,,,,,,,
1205087819641462,2023-07-18,,2023-07-19,15. Adhesivos y avisos,PRODUCTION,,,,,,,WORK CHRONOGRAM ALUZINA ENGLISH ,,,,,,,,
1205090273281372,2023-07-19,,2023-07-19,1. aviso luminoso BROOKLIN en exterio,,,,,,,,,15. Adhesivos y avisos,,,,,,,
1205090273281373,2023-07-19,,2023-07-19,2. intervension grafica en fachada,,,,,,,,,15. Adhesivos y avisos,,,,,,,
1205090273281374,2023-07-19,,2023-07-19,3.señalizacion interna,,,,,,,,,15. Adhesivos y avisos,,,,,,,
1205090273281376,2023-07-19,,2026-05-17,16. Technology,PRODUCTION,,,,,,,WORK CHRONOGRAM ALUZINA ENGLISH ,,,,,,,,
1205090273281378,2023-07-19,,2023-07-19,1. proyectors ,,,,,,,,,16. Technology,,,,,,,
1205090273281380,2023-07-19,,2023-07-19,2. Screen projection,,,,,,,,,16. Technology,,,,,,,
1205090273281381,2023-07-19,,2023-07-19,3. Domotic,,,,,,,,,16. Technology,,,,,,,
1205090273281382,2023-07-19,,2023-07-19,4. pantalla con animacion y logo,,,,,,,,,16. Technology,,,,,,,
1205087819641464,2023-07-18,,2026-05-17,17. Lighting,PRODUCTION,,,,,,,WORK CHRONOGRAM ALUZINA ENGLISH ,,,,,,,,
1205090273281383,2023-07-19,,2023-07-19,1. EXTERIOR cable ,,,,,,,,,17. Lighting,,,,,,,
1205090273281384,2023-07-19,,2023-07-19,2. Led progile ,,,,,,,,,17. Lighting,,,,,,,
1205090273281385,2023-07-19,,2023-07-19,3.Domotic switch,,,,,,,,,17. Lighting,,,,,,,
1205090273281386,2023-07-19,,2023-07-19,4. Kitchen lighting ,,,,,,,,,17. Lighting,,,,,,,
1205090273281387,2023-07-19,,2023-07-19,5.Bulbs in living room ,,,,,,,,,17. Lighting,,,,,,,
1205090273281388,2023-07-19,,2023-07-19,6. Rooms adecuation,,,,,,,,,17. Lighting,,,,,,,
1205087819641466,2023-07-18,,2023-07-19,18. Furniture ,PRODUCTION,,,,,,,WORK CHRONOGRAM ALUZINA ENGLISH ,,,,,,,,
1205090273281389,2023-07-19,,2023-07-19,1. Metalmecanic ,,,,,,,,,18. Furniture ,,,,,,,
1205090273281392,2023-07-19,,2023-07-19,1. librari ,,,,,,,,,1. Metalmecanic ,,,,,,,
1205090273281393,2023-07-19,,2023-07-19,2. Cinema ,,,,,,,,,1. Metalmecanic ,,,,,,,
1205090273281390,2023-07-19,,2023-07-19,2. Wood made ,,,,,,,,,18. Furniture ,,,,,,,
1205090273281394,2023-07-19,,2023-07-19,1. beds ,,,,,,,,,2. Wood made ,,,,,,,
1205090273281395,2023-07-19,,2023-07-19,2. night table ,,,,,,,,,2. Wood made ,,,,,,,
1205090273281396,2023-07-19,,2023-07-19,3. Cinema ,,,,,,,,,2. Wood made ,,,,,,,
1205090273281397,2023-07-19,,2023-07-19,4. Studio ,,,,,,,,,2. Wood made ,,,,,,,
1205090273281398,2023-07-19,,2023-07-19,5. Bar ,,,,,,,,,2. Wood made ,,,,,,,
1205090273281391,2023-07-19,,2023-07-19,3. Buying from store,,,,,,,,,18. Furniture ,,,,,,,
1205087819641468,2023-07-18,,2026-05-17,19. Internet buyings ,PRODUCTION,,,,,,,WORK CHRONOGRAM ALUZINA ENGLISH ,,,,,,,,
1205090273281399,2023-07-19,,2023-07-19,1.cuatro ambientes programados para la iluminacion,,,,,,,,,19. Internet buyings ,,,,,,,
1205087819641472,2023-07-18,,2023-07-19,20. Art ,PRODUCTION,,,,,,,WORK CHRONOGRAM ALUZINA ENGLISH ,,,,,,,,
1205087819641476,2023-07-18,,2023-07-19,21. Final details ,PRODUCTION,,,,,,,WORK CHRONOGRAM ALUZINA ENGLISH ,,,,,,,,
1205087819641478,2023-07-18,,2023-07-19,22. Final arrengment ,PRODUCTION,,,,,,,WORK CHRONOGRAM ALUZINA ENGLISH ,,,,,,,,
1205087819641482,2023-07-18,,2023-07-19,23. Client deliver ,PRODUCTION,,,,,,,WORK CHRONOGRAM ALUZINA ENGLISH ,,,,,,,,
1205087819641484,2023-07-18,,2023-07-19,24.Client correction in space ,PRODUCTION,,,,,,,WORK CHRONOGRAM ALUZINA ENGLISH ,,,,,,,,
